id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
civilian_infrastructure_lux,Civilian Infrastructure (Luxury),150,210,,10,,,"industrial, structure",,graphics/icons/industry/civilian_lux.png,com.github.alycecil.econ.impl.LuxCivilianInfra,Infrastructure dedicated to the transport of goods and workers for the civilian sector in luxury. Works best in conjunction with the common variant.,220,LOW
civilian_population_lux,Population (Wealthy),550,210,,10,,,"industry,industrial,rural",,graphics/icons/industry/civilian_lux_housing.png,com.github.alycecil.econ.impl.LuxCivilianHousing,Infrastructure dedicated to the pleasure of the wealthiest civilians in abject luxury.,100,LOW
civilian_infrastructure_transport,Transportation Infrastructure,150,210,,10,,,"industrial, structure",,graphics/icons/industry/industrial_tunnels.png,com.github.alycecil.econ.impl.IndustrialTunnels,Industrial infrastructure dedicated to the transport of goods between various industries.,220,LOW
authoritarian_regime,Authoritarian Regime,250,200,,10,,,"heavyindustry,industrial",,graphics/icons/industry/suppression.png,com.github.alycecil.econ.impl.AuthoritarianRegime,"Long has humanity known its own darkness, in this age suppression of the masses is not uncommon but dedicating infrastructure to the outright suppression of civilians or the creation of a 'Servile' class such as this will irk any and all who stumble upon them.",666,EXTREME
police_state,Police State,50,200,,10,,,"heavyindustry,industrial",,graphics/icons/industry/suppression_light.png,com.github.alycecil.econ.impl.PoliceState,"Long has humanity known its own darkness, in this age suppression of the masses is not uncommon but dedicating infrastructure to compliance might be frowned on in the international community.",666,EXTREME
chop_shop,Chop Shop,150,200,,10,,,"heavyindustry,industrial",,graphics/icons/industry/chop_shop.png,com.github.alycecil.econ.impl.ChopShop,"Long has humanity known its own darkness, in this age suppression of the masses is not uncommon. Black market 'meat' markets are no exceptions, the rich of the core worlds don't bat an eye at the source of their life preserving organs so long as the supply is continuous.",666,EXTREME
military_sdf,Self Defense Force,60,90,,10,,,"patrol, unraidable, tactical_bombardment, structure",,graphics/icons/industry/mil_sdf.png,com.github.alycecil.econ.impl.SelfDefenceForce,"The requisite hangars, maintenance bays, command/control and communications (CCC), barracks, and logistics operations required to project force throughout a star system. Once established, militarized patrols will hunt pirates and protect friendly convoys particularly in the immediate area of the colony.",12400,
military_edf,Emergency Defense Force,30,15,,10,,,"patrol, unraidable, tactical_bombardment, structure",,graphics/icons/industry/mil_edf.png,com.github.alycecil.econ.impl.SelfDefenceForce,"The requisite hangars, maintenance bays, command/control and communications (CCC), barracks, and logistics operations required to project force throughout a star system. Once established, militarized patrols will hunt pirates and protect friendly convoys particularly in the immediate area of the colony.",12402,
military_gate_control,Gates & Customs Navy,90,120,,14,,,"military, unraidable, tactical_bombardment, structure",,graphics/icons/industry/gate_defense.png,com.github.alycecil.econ.impl.JumpDefense,"The requisite hangars, maintenance bays, command/control center, barracks, and logistics operations required to project force throughout a star system. Once established, militarized patrols will hunt pirates and protect friendly convoys around jump points.",12500,
military_idf,Industrial Defense Force,70,70,,10,,,"patrol, unraidable, tactical_bombardment, structure",,graphics/icons/industry/industrial_defence_force.png,com.github.alycecil.econ.impl.IndustrialDefenseForce,"The requisite hangars, maintenance bays, command/control and communications (CCC), barracks, and logistics operations required to project force throughout a star system. Once established, militarized patrols will hunt pirates and protect friendly convoys particularly in the immediate area of the colony.",12401,
